산업,연율성장_퍼센트
농림어업,-0.34
광업,-4.51
음식료품 제조업,1.53
섬유 및 가죽제품 제조업,-1.41
"목재, 종이, 인쇄 및 복제업",-0.78
코크스 및 석유정제품 제조업,-0.87
화학물질 및 화학제품 제조업,2.02
비금속광물제품 제조업,-0.6
1차금속 제조업,0.72
금속가공제품 제조업,-0.39
"컴퓨터, 전자 및 광학기기 제조업",8.29
전기장비 제조업,1.97
기계 및 장비 제조업,1.69
운송장비 제조업,3.29
기타 제조업 및 산업용 장비 수리업,1.44
전기업,0.95
"가스, 증기 및 공기조절 공급업",0.18
"수도, 하수 및 폐기물 처리, 원료 재생업",1.11
주거용 건물 건설업,0.16
비주거용 건물 건설업,0.41
토목건설업,-2.33
건축보수업,0.37
도소매업,1.73
숙박 및 음식점업,0.55
운수업,5.65
금융 및 보험업,3.36
부동산업,0.72
통신업,3.32
"출판, 방송, 영상, 정보서비스",2.75
"전문, 과학 및 기술관련 서비스업",2.18
사업지원 서비스업,3.22
"공공행정, 국방 및 사회보장",2.04
교육서비스업,1.16
"의료, 보건업 및 사회복지서비스업",5.16
"예술, 스포츠 및 여가관련 서비스업",3.27
기타 서비스업,0.58
