,1차금속 제조업,"가스, 증기 및 공기조절 공급업",건축보수업,"공공행정, 국방 및 사회보장",광업,교육서비스업,금속가공제품 제조업,금융 및 보험업,기계 및 장비 제조업,기타 서비스업,기타 제조업 및 산업용 장비 수리업,농림어업,도소매업,"목재, 종이, 인쇄 및 복제업",부동산업,비금속광물제품 제조업,비주거용 건물 건설업,사업지원 서비스업,섬유 및 가죽제품 제조업,"수도, 하수 및 폐기물 처리, 원료 재생업",숙박 및 음식점업,"예술, 스포츠 및 여가관련 서비스업",운송장비 제조업,운수업,음식료품 제조업,"의료, 보건업 및 사회복지서비스업",전기업,전기장비 제조업,"전문, 과학 및 기술관련 서비스업",주거용 건물 건설업,"출판, 방송, 영상, 정보서비스","컴퓨터, 전자 및 광학기기 제조업",코크스 및 석유정제품 제조업,토목건설업,통신업,화학물질 및 화학제품 제조업
y.L1.1차금속 제조업,0.00903287272942263,0.015375290021527377,-0.05724821037781398,0.00013557479503015744,-0.012942780239024645,-0.008572490802500903,-0.0016152800207898388,-0.014216565631116358,-0.03370003690972931,-0.011027789214775697,-0.024533936509966853,0.027213907145216362,-0.005458267721932437,-0.019393843956007396,0.015594923398404527,0.012916633125581452,0.027149329782422488,-0.018272917617068084,0.02490029317775918,0.03186483206144622,-0.01363116458401062,-0.028745233608553224,0.012600289181379398,-0.010118779329418872,0.014635620615771136,-0.01706932064252497,-0.05078328017742667,0.0015278305283200622,-0.009725774675038906,-0.04568521943798991,-0.03826132170187289,-0.003418250129292588,-0.18838698189450626,-0.00334427964490586,-0.0008900288523814547,-0.012866889318093449
"y.L1.가스, 증기 및 공기조절 공급업",-0.006555025076908361,-0.11532012623516957,-0.011953444659169171,0.0032115935543198647,0.0501253971358971,0.0035847463812243435,-0.031174018288334764,0.017237074415882597,0.007090547608065344,0.004292317605675276,-0.012084997167034884,0.0403339797876149,0.002979464843566971,-0.009286679626828536,0.0018588418800934425,0.04437274520368248,0.0086970537496476,-0.002316820854986877,-0.0113413177155574,0.005453569054240621,0.007252854129982645,0.019120647475283036,0.014652570824077449,-0.014153819823045283,-0.019020716616987184,0.007201494025059013,-0.020852495961223554,-0.002926610668267042,-0.006784376942094012,0.026462767662575305,0.010519906318975734,0.03716010505439707,-0.01192567346358824,0.03477017910058793,0.02928672871773507,0.010785150270216256
y.L1.건축보수업,0.041825404561482135,-0.022365477669181504,-0.03835676477243964,0.0009415603597718696,-0.00047220428512889656,0.005367590684164434,-0.0012199901072980773,-0.03371938353771119,0.020294305973364013,-0.03258871883854983,-0.028274435807780517,-0.005495411589116185,0.0021786394957016434,0.052735583546743105,0.006008077908370869,0.029266888443388768,-0.004700575888699793,-0.02548274358891875,-0.03227869342245993,-0.03055360166105926,0.012993821793588843,-0.03566705398986807,-0.045919011026575064,0.022428559344478165,-0.0034533875549528532,-0.014431412065169024,0.07610269456956009,0.015078564544204698,-0.01740300244709108,0.08395395669336159,0.03437432021322131,0.014507033697052193,0.21270660963793558,0.00963149955159219,-0.039703306453078104,0.01607768764892723
"y.L1.공공행정, 국방 및 사회보장",0.0670351323531998,0.808390062155111,-0.029322942107515043,0.014048796588581158,-0.01310781924242499,0.07850330906958003,0.40621256122814653,0.7330915875223192,0.22848002142290857,0.053387123942911785,0.17139028707658677,0.10145384431128365,0.15883039416797784,0.06840510274808353,0.08022295621450537,-0.04721373853941077,-0.37455818914922134,0.21311893004441362,-0.16167009620228634,0.4967209547341067,0.08109492544998309,-0.015325654371091568,0.5386544203046975,-0.1415828729439894,0.11089908118637881,0.08451191228237742,0.3967570956747517,0.47225869489499184,0.03549865113181516,-0.5001641047772529,0.5563857948603554,-0.19411186393930668,0.17331998940221294,-0.11550474836795196,0.12003933381954379,0.08059767620627767
y.L1.광업,0.023780623820427466,-0.008772210779094538,-0.03076100225569911,-0.005578182734151102,-0.09171167332751935,0.004486367587946988,-0.03534945603849271,0.0285134198601297,0.06573763829884365,-0.0013793908492058613,0.014093801267116145,0.03409117417862978,0.023314410279316203,0.00950954173185669,-0.003335136022305292,-0.01479729566728825,-0.0025701447609136376,-0.04061852054629542,0.03002664284853533,-0.03573346817071548,0.022372965305246052,-0.026776489110823316,-0.02361963161173745,-0.03519441449662434,-0.008770746494065142,-0.005600449528944923,-0.02431275928212976,0.010057441246095042,-0.01338304134016739,0.022518811220265226,-0.01508249762088651,0.04946217452955983,-0.08570431691954969,0.003665050326296721,-0.0042064333316345764,0.03421575151730973
y.L1.교육서비스업,0.15848577776116174,-0.05520382698742754,-0.30905302926581385,-0.0346993971087467,0.23946005739093068,0.007594776010310111,0.0074901972220117186,0.03749545462528825,-0.022169875288305274,0.034754116982572913,-0.04666644197073172,-0.1417619845279293,-0.02899819293532946,0.228055831357028,0.10329173994365015,0.12885434351495012,0.09639129225068699,0.21338384461145243,-0.11002182161640212,0.27403141611460646,0.11969042294975718,0.41980574695201844,-0.17976255954281917,-0.026918643711485668,-0.1561250426651582,0.09952904394914908,-0.24825876201747166,0.002137493524786427,0.059898197316588186,-0.023902029220826737,0.0003729720312211082,0.12866299611023768,-0.5749872039261784,-0.16126716017433707,0.1184595011530114,0.11700612721291703
y.L1.금속가공제품 제조업,-0.009849964465264795,-0.025906700439948124,-0.07451792396500441,0.005147833364855108,0.042809675669877555,-0.008442895198554864,0.03420241499293945,-0.028147964372629352,0.05359616492259969,-0.014091753703579991,0.034790670483806074,-0.08527071587906446,-0.002529775953423595,0.03057886415030183,0.00963713688883771,-0.03357134736896941,0.0943208707949596,-0.0033582221524939004,-0.03572642707927505,-0.07781695308915068,-0.03263999712315118,-0.020445409306089127,-0.0039577254532290745,0.009381852376083764,0.048373440378223526,-0.019959392090384047,-0.00512281291902153,-0.014207570856929044,-0.014026482917733112,0.004926223724159845,-0.03886097226907731,0.029593711740786264,0.2255395691200994,-0.004335567292412108,0.020253095845668555,-0.035384222547683385
y.L1.금융 및 보험업,0.003263845367212914,-0.017965220423086847,0.0028256617665540634,-0.011263172840821838,-0.07179101143268334,0.00486535502071965,0.03249594501467333,-0.034945271060338456,0.1561696341720877,0.03337898826456846,0.03612671109017741,-0.0950482363317432,0.04256726678257536,0.035330546024449294,0.03686618817718214,-0.005638647291979881,0.049025858603509796,-0.05678009667304956,0.04402190966158555,-0.02402885788316289,0.039904249354294485,-0.02794636896483449,0.05248846322062678,-0.022349845099584917,0.029424508023348055,-0.0028060403177530002,0.03897021674358497,-0.006943061624018976,0.003842162261638027,0.10930592500162102,-0.035643475890813674,-0.026351572989072147,0.07099582347009027,-0.02394478650008769,0.013937851605109158,0.03146672068053466
y.L1.기계 및 장비 제조업,0.03704867230601583,0.028345677221334353,0.005089500518380287,-0.001074012281518863,-0.03529625841181915,0.0007549894479374764,0.032196928264805635,0.010080423754494361,-0.017849393287154236,0.022246831479894022,-0.01932482612995723,0.07618807455838968,0.015563993450105826,0.016654373657006026,-0.010511971633895598,0.05851905814897436,0.05292135530235484,0.011154301908460895,0.027687784072023963,0.03784814605410325,0.013737689453200128,0.009369242245590464,-0.06485070378540189,-0.0213781574546877,-0.00014029826130405182,0.003543768758612731,0.05770363251870814,0.041132372247945526,0.027684604125708792,-0.10000707554442723,0.006960554760920584,-0.014888830232428457,-0.14087939556496618,0.0753364896878911,-0.016112154881336896,0.03796010488059651
y.L1.기타 서비스업,0.009554429691013944,0.18744345551350733,-0.034759391377565466,0.0025242756907421122,-0.031456191781673006,-0.005814261123531377,0.09161677085311376,-0.06547064937359244,0.021285580521313824,-0.06976619144251921,-0.08385562282270383,0.05899146409772854,-0.038201759823945886,0.035099960500618255,0.0035691316653279643,0.013876706411325934,0.10680250249327103,0.007811353695507756,-0.05406663574136389,-0.06383498333167735,0.0018981362310487165,0.03788586041413233,-0.10243885870899519,0.031007150903542502,-0.06931608306849923,0.04596946225479522,0.06891535134185407,-0.07425407417384713,-0.03394295077106049,-0.04177046472301688,0.00026395736847041606,-0.019356791745005653,0.7340994599023145,-0.07783479481201461,-0.0016122192143566763,0.042900694896065183
