산업명,oil_g,trd_g,d_rrate,rfx_g,lab_g
1차금속 제조업,-0.9112432039892191,1.345556383040001,0.6013412776544095,-1.6303965231743063,0.5037737604347127
"가스, 증기 및 공기조절 공급업",-1.4864891798519924,1.874699453398478,-0.3685496568619098,-1.3379051547521974,1.4946836447864074
건축보수업,-1.063735441053776,0.260775018270645,-0.9195061470566022,-1.4118707294179291,0.6895680474345196
"공공행정, 국방 및 사회보장",-0.21993467543498896,0.1382157324618773,0.033682785498378894,-0.011674896348309547,0.1438167448758512
광업,-0.6710815544500833,-0.8644937173480481,-0.11484349823154974,-1.1804639616294788,1.0974924652628093
교육서비스업,0.15285434353337207,0.3408874724012086,-0.14370163627189733,-0.14436962086367214,0.17679266023884954
금속가공제품 제조업,-0.6684167497324327,-0.21936111256768967,-0.6138816522667435,-2.2076534502857896,1.9378754672994751
금융 및 보험업,-1.2997166416806647,-0.12883906582839716,-0.34494395316466764,-1.131623983115972,0.6737564608149176
기계 및 장비 제조업,0.3905986325446932,2.7484367393086253,-0.3733347982551641,-2.21955624095322,1.5436576325508558
기타 서비스업,-0.38999996466921805,-0.14398592133719879,0.08914334240974693,-0.8946405030979193,1.223843016390656
기타 제조업 및 산업용 장비 수리업,0.5971659760170281,0.014907552222711245,0.247125861149033,-1.0060989240553757,0.45617557356580707
농림어업,0.09428335764292187,0.8685406616618228,0.20739737243137232,0.41702585586134566,0.7201843227305647
도소매업,-0.22813888985940733,0.4902390187579358,-0.2702859945820101,-0.4447388271785992,0.8407340813780486
"목재, 종이, 인쇄 및 복제업",-0.3485400115919696,0.35243228832464885,0.2957026558496775,-0.4402057623568591,0.9438413730923754
부동산업,-0.41866986383056626,0.22079084511346606,-0.2611238575633532,-0.37663949973033173,0.2460737919087642
비금속광물제품 제조업,-0.14115470042623932,0.6055539208196341,-1.1305445825714133,-1.4259028232598325,0.5767487686442745
비주거용 건물 건설업,0.14087443938678917,0.2783444254760071,0.3997379522980605,-1.7087443537029137,1.2740175210948135
사업지원 서비스업,-0.08688026512771187,0.7648211012164955,0.6068123617449651,-1.294221009085656,0.767675768027294
섬유 및 가죽제품 제조업,0.8722743377640496,0.6783614076803396,0.02535916617605511,-0.08792286527065751,0.42462835026527834
"수도, 하수 및 폐기물 처리, 원료 재생업",-0.8193654387094493,0.21310985695587006,-0.4869709917375185,-0.18637664796390663,0.5883630180352514
숙박 및 음식점업,0.19705009536613355,-0.4960994096578054,-0.7491439738608262,-0.16780617437615342,1.8434645239977694
"예술, 스포츠 및 여가관련 서비스업",1.0376591563705326,0.26792571355651984,-0.26586806892392817,0.46812732277731406,2.2145819378327922
운송장비 제조업,-0.15273498901513147,3.229497118910736,-0.2975690134009954,-0.7925678619297566,1.4566956035099372
운수업,1.260208580731802,0.5586840054611603,0.10938620809929993,0.08291132705302087,0.6775419336217022
음식료품 제조업,0.6736085754596914,-0.5278667384863945,-0.3482985901399077,0.07837971869629211,0.8641473109725043
"의료, 보건업 및 사회복지서비스업",-0.12325112921546746,0.14098502145766592,0.33409761643007646,-0.5030335114095437,0.15071631141439526
전기업,-0.8645837404484267,0.4887880682325859,-0.7715445404071711,-0.06011356576837217,1.2114860891390797
전기장비 제조업,-0.2318219310340418,1.5558586724912047,-0.7828650502246778,-0.9383662517634489,0.952844156134499
"전문, 과학 및 기술관련 서비스업",-0.6480013318452139,0.26698954441992734,0.10957687068693453,-1.0899202610839909,1.1083819290722388
주거용 건물 건설업,-1.058211046400703,-2.0213319094981554,0.09039634824471092,-2.2232672792229655,1.7733355534024062
"출판, 방송, 영상, 정보서비스",-0.6368192755988097,0.4213677420450696,0.1704099882244064,-1.207116925889576,1.4894039104662289
"컴퓨터, 전자 및 광학기기 제조업",-0.03236081841678537,1.4118748027059373,0.7075511860699892,-0.09386390283668453,0.16310541165479242
코크스 및 석유정제품 제조업,4.927874257195801,3.151988513441132,-0.24495665865680794,1.794142487409815,-0.9286744658790671
토목건설업,-1.7052405311686911,-1.3225604054443987,-0.3959993674655291,-0.8921839192249792,0.9001516504458412
통신업,-0.7070480689135187,0.49665511775413884,-0.6988110472908879,-0.18650575533231495,1.4761717846553937
화학물질 및 화학제품 제조업,-0.8806386369141896,1.1138192153024025,-0.06136599293819034,-0.5741845314354022,0.663664521051085
