시나리오,분기,oil_g,trd_g,d_rrate,rfx_g,lab_g
S1,2026Q1,0.5,1.0,0.0,0.0,-0.247
S1,2026Q2,0.5,1.0,0.0,0.0,-0.248
S1,2026Q3,0.5,1.0,0.0,0.0,-0.249
S1,2026Q4,0.5,1.0,0.0,0.0,-0.251
S1,2027Q1,0.5,1.0,0.0,0.0,-0.17
S1,2027Q2,0.5,1.0,0.0,0.0,-0.171
S1,2027Q3,0.5,1.0,0.0,0.0,-0.173
S1,2027Q4,0.5,1.0,0.0,0.0,-0.174
S1,2028Q1,0.5,1.0,0.0,0.0,-0.232
S1,2028Q2,0.5,1.0,0.0,0.0,-0.233
S1,2028Q3,0.5,1.0,0.0,0.0,-0.234
S1,2028Q4,0.5,1.0,0.0,0.0,-0.236
S1,2029Q1,0.5,1.0,0.0,0.0,-0.172
S1,2029Q2,0.5,1.0,0.0,0.0,-0.173
S1,2029Q3,0.5,1.0,0.0,0.0,-0.174
S1,2029Q4,0.5,1.0,0.0,0.0,-0.176
S1,2030Q1,0.5,1.0,0.0,0.0,-0.227
S1,2030Q2,0.5,1.0,0.0,0.0,-0.228
S1,2030Q3,0.5,1.0,0.0,0.0,-0.229
S1,2030Q4,0.5,1.0,0.0,0.0,-0.231
S1,2031Q1,0.5,1.0,0.0,0.0,-0.236
S1,2031Q2,0.5,1.0,0.0,0.0,-0.237
S1,2031Q3,0.5,1.0,0.0,0.0,-0.239
S1,2031Q4,0.5,1.0,0.0,0.0,-0.24
S1,2032Q1,0.5,1.0,0.0,0.0,-0.268
S1,2032Q2,0.5,1.0,0.0,0.0,-0.269
S1,2032Q3,0.5,1.0,0.0,0.0,-0.27
S1,2032Q4,0.5,1.0,0.0,0.0,-0.272
S1,2033Q1,0.5,1.0,0.0,0.0,-0.322
S1,2033Q2,0.5,1.0,0.0,0.0,-0.324
S1,2033Q3,0.5,1.0,0.0,0.0,-0.325
S1,2033Q4,0.5,1.0,0.0,0.0,-0.326
S1,2034Q1,0.5,1.0,0.0,0.0,-0.42
S1,2034Q2,0.5,1.0,0.0,0.0,-0.421
S1,2034Q3,0.5,1.0,0.0,0.0,-0.423
S1,2034Q4,0.5,1.0,0.0,0.0,-0.424
S1,2035Q1,0.5,1.0,0.0,0.0,-0.416
S1,2035Q2,0.5,1.0,0.0,0.0,-0.417
S1,2035Q3,0.5,1.0,0.0,0.0,-0.419
S1,2035Q4,0.5,1.0,0.0,0.0,-0.42
S2,2026Q1,-3.5,-0.86,0.0,3.587,-0.731
S2,2026Q2,-3.0,-0.705,-1.108,2.831,-0.779
S2,2026Q3,-2.5,-0.55,-0.534,1.775,-0.668
S2,2026Q4,-2.0,-0.395,-0.075,0.792,-0.529
