연도,생산연령인구_천명
1989,29135.0
1990,29701.0
1991,30171.0
1992,30611.0
1993,31023.0
1994,31446.0
1995,31900.0
1996,32327.0
1997,32791.0
1998,33126.0
1999,33420.0
2000,33702.0
2001,33947.0
2002,34155.0
2003,34368.0
2004,34522.0
2005,34641.0
2006,34933.0
2007,35209.0
2008,35587.0
2009,35902.0
2010,36209.0
2011,36650.0
2012,36856.0
2013,37014.0
2014,37256.0
2015,37444.0
2016,37596.0
2017,37572.0
2018,37624.0
2019,37628.0
2020,37379.0
2021,37051.0
2022,36743.0
2023,36572.0
2024,36328.0
2025,35912.0
2026,35488.0
