연도,중위_천명,고위_천명,저위_천명
2015,37444.0,,
2016,37596.0,,
2017,37572.0,,
2018,37624.0,,
2019,37628.0,,
2020,37379.0,,
2021,37051.0,,
2022,36743.0,36743.0,36743.0
2023,36572.0,36572.0,36571.0
2024,36328.0,36395.0,36260.0
2025,35912.0,36039.0,35785.0
2026,35488.0,35672.0,35302.0
2027,35184.0,35424.0,34941.0
2028,34804.0,35099.0,34506.0
2029,34518.0,34867.0,34164.0
2030,34166.0,34568.0,33758.0
2031,33812.0,34267.0,33352.0
2032,33426.0,33933.0,32914.0
2033,32979.0,33536.0,32417.0
2034,32418.0,33024.0,31808.0
2035,31878.0,32532.0,31219.0
2036,31284.0,31985.0,30580.0
2037,30712.0,31459.0,29963.0
2038,30130.0,30923.0,29336.0
2039,29552.0,30394.0,28710.0
2040,29029.0,29935.0,28139.0
