,S1_p05,S1_p15,S1_p50,S1_p85,S1_p95,S2_p05,S2_p15,S2_p50,S2_p85,S2_p95,S3_p05,S3_p15,S3_p50,S3_p85,S3_p95,S4_p05,S4_p15,S4_p50,S4_p85,S4_p95,S5_p05,S5_p15,S5_p50,S5_p85,S5_p95
2026Q1,99.48701585031205,99.92798368042101,100.47881543720851,101.15667948845936,101.41248935918625,98.89111647191751,99.19730459740016,99.89120815890725,100.49407765366712,100.90006177190108,99.42823842144146,99.86174464360928,100.55355038328938,101.15420171545635,101.51896604421144,99.82207420392707,100.19727615873721,100.80286147819024,101.40036586239798,101.84449112527787,98.9281078102769,99.34616413932098,100.07689195825553,100.70715420468129,101.02665049843573
2026Q2,99.58518671262574,100.16818714071336,100.98767605335432,101.9671623054964,102.54537343542964,98.07144938670443,98.61579326585935,99.62802315967062,100.49641970634524,101.01567462988805,99.52107418510961,100.0526328807672,101.1568328971512,102.02240001952872,102.53228845221713,100.28256583610184,100.94228687554714,101.86522940414187,102.82169508320416,103.33317026846424,98.36707622375398,98.83448719359997,99.77477265536409,100.68673352256738,101.26552571493231
2026Q3,99.91555171919556,100.39089244180187,101.6236142649924,102.94952342036422,103.56070427863335,97.63799625407576,98.43959973934669,99.65340557158991,100.73245022421943,101.39838965655727,99.64990520845109,100.43685867314913,101.80548951832904,103.02691045211407,103.71797128829208,101.04407217074049,101.78480288699276,103.01345685619066,104.2717340880881,105.05020528079608,97.87002452339138,98.45574800955849,99.82415542734108,101.09271714450759,101.79402741461232
2026Q4,100.06171486758629,100.81133397995434,102.27512209140647,103.84140223036356,104.57998739651322,97.30626584868011,98.26053942736011,99.6158662849007,101.10906828725889,101.94360712344532,99.85928364094305,100.83283913647595,102.4021909459776,104.04180320376514,104.96348754207547,101.42109379982895,102.64932236136472,104.02076283205817,105.58854861923412,106.39146616507793,97.47986490732835,98.34417329049798,99.9091223895264,101.30914593411306,102.1867748767652
2027Q1,100.06451881624807,101.27689853418127,103.08980530710217,104.83164289506652,105.77784537871533,97.13566095509792,98.32946133929168,99.97725099975973,101.59410285004049,102.8820570234646,100.36319156928167,101.308291025246,103.17319583330125,105.0500533468287,106.11626329775147,102.15913215254078,103.28950035756822,105.00656803645589,106.87091459673934,107.84497310546458,97.55058726285341,98.48318512796843,100.12955698946175,101.92304972197815,102.96950617317655
2027Q2,100.13916656311146,101.7171458417214,103.72679860209828,105.87200860187953,107.00393316740656,97.28425393314008,98.57617679091281,100.39679203837117,102.39092569169696,103.79601339492403,100.354664153595,101.70935762413298,103.87692264987815,106.0263457547012,107.2854335268241,102.68626739603334,103.90429238898375,105.91580924165547,108.05047811254394,109.36606533385911,97.48263869042823,98.5503484740527,100.62860673964877,102.64935023897795,104.16659105678698
2027Q3,100.55092898811868,101.94856787535231,104.52953757256198,106.84570283596561,107.96498363823845,97.48414180495442,98.68169647097453,101.01280966076295,103.2710799949348,104.66491987024753,100.71980499414414,102.35110908894384,104.72034728312471,107.05752303553679,108.58764175269921,102.61693674017667,104.45297897829707,106.79682925690813,109.32490971223923,110.20669286513471,97.59115781530203,98.97714390740127,101.25250462172785,103.56766815184277,105.24402814992087
2027Q4,100.7503483668032,102.39265055131585,105.23224231117749,107.97477643236519,109.17008544320068,97.66128434807861,99.00354839287317,101.76374104127738,104.03381626506676,105.86917153211076,100.93389008580299,102.66352373988406,105.43233826608898,108.16216550992739,109.62533340050152,103.16357599361443,105.13884115771587,107.55034481133201,110.3611243051377,111.47364308623094,97.79034599736539,99.57875015320018,102.03352836816617,104.81176290337208,106.19150311885932
2028Q1,101.08537418175845,102.77504697504303,105.96603445541864,108.83398368840405,110.20506041372656,97.99528256464949,99.50818286958096,102.4301726577757,105.19545945626696,107.21418351800307,101.30750713419785,103.21075247231919,106.20873117188823,109.09578350643716,110.73968433349688,103.49412954486839,105.7174844774045,108.23630254545714,111.31230598104587,112.90429851713262,97.80866510264529,99.96842509102693,102.69418728868582,105.75073252512341,107.49524752983997
2028Q2,101.57259112614308,103.41440656961365,106.57048034429235,109.98074873142731,111.45782378905761,98.5584817243509,99.91076392677252,103.20882049479407,106.27902249652539,108.20202470925781,101.59683691284988,103.72874497829669,106.9727458148368,109.90398991591816,111.68164911705767,104.03104904927159,106.0504733420102,109.12915251937152,112.15654543097762,114.17086923692786,98.10535126904493,100.28533795069183,103.50644925798366,106.79347870124715,108.7256664321527
2028Q3,101.75557565876264,103.6789868838351,107.44511465983548,110.69513357696408,112.53313807173642,98.95427186903096,100.33787432381406,103.9596863418671,107.28733047187393,109.70100813053338,101.92800716291521,104.3764239416734,107.8463416049537,111.02878560386532,112.89955678266652,104.33676929520198,106.46110698351015,109.72671817663992,113.12034792139049,115.1403931146221,98.34079684113513,100.7354220573232,104.44871822543634,108.03558422493127,109.87326757496317
2028Q4,102.10273826835379,104.0075598166386,108.0428040358461,111.49546205339342,113.67893526541005,99.3157478683274,100.96990550001888,104.92622601817125,108.41745033759773,110.9096728722989,102.67171445780289,104.85652813530848,108.55656433566274,112.04682562918184,113.83584299252061,104.66750125278146,107.00276509121423,110.42632492075215,114.13886669144122,116.22642971607036,98.61927209300553,101.51104087727481,105.36142793804997,109.10439882527237,110.79083918260501
2029Q1,102.18203157698866,104.48695387917388,108.73531955021542,112.5100288126216,114.52933529554328,99.63787675700056,101.37528239405695,105.94201083379859,109.6678405729705,111.97585165859716,102.8874459415384,105.27308506035268,109.53955417113144,113.13041030960842,115.02811483894122,105.2503458612097,107.42417186560742,111.23598523037994,115.14767851476874,117.4305092467842,99.01291904526944,101.91277054443617,106.30013685728738,110.07814308971764,112.33081929482142
2029Q2,102.31493144221808,105.09981785411617,109.33309431948499,113.38165570280381,115.5026443150748,100.04844288091954,102.20442096183821,106.86876816265686,110.83766263952981,113.2942616958506,103.34833070629925,105.72435082078312,110.20243157935539,114.2183005751808,115.97174198018467,105.47295065651451,107.82027168673058,112.09341012800797,115.87544820545742,118.85402069885782,99.14800214151255,102.44285125943209,107.2763262463533,111.14828810484731,113.65991095073957
2029Q3,102.81215022304966,105.5141704928739,110.02806153514489,114.26952265751058,116.56703239254607,100.58741259872346,102.66250965371442,107.59480088783687,111.89969108033023,114.61634296155243,103.66571368610234,106.29158120685247,110.83242380252824,115.30141837652488,117.6006690684378,105.62146788309505,108.33656881271013,112.71317577689291,116.98430240315199,119.92866513419675,99.6756623589216,102.72200570133788,108.23163729891586,112.27970161947513,114.62813434741761
2029Q4,102.67089098530388,106.35875085773306,110.7608020081518,115.67619730864065,117.94920791018721,100.93588509896747,103.26183055974533,108.40810859852472,112.91278412678427,115.84275689441476,103.7505774651081,107.0641185103502,111.53691969829285,116.45575226939799,118.78047391267845,105.82589987565245,108.85541452054555,113.42677862232833,118.08139122192162,120.94613256055837,99.50673161703621,103.29600706768476,108.98094653322413,113.50633355312416,115.99163558518455
2030Q1,103.20635679534378,107.0245422307397,111.49908848922232,116.33361039824463,119.15623449791673,101.42371451633012,103.68477803209484,109.24535471816277,113.99919190750907,116.79773696733756,104.31162629679216,107.31438241334517,112.3426270250885,117.45033510076443,119.76898545640427,106.02341423925945,109.10851991600516,114.07961249538847,119.08211401773366,121.88399076522411,100.46465680682863,104.10805195796048,109.67443804042918,114.42464529647604,117.4311731921496
2030Q2,103.55346721756054,107.72798081529618,112.31478884166965,117.72770192878859,120.0347557341193,101.76768983056942,104.30188868858372,110.12082412862291,114.93837967419982,118.59564285717991,104.66960292504224,107.7311938175725,113.4039804550547,118.26886424449863,121.04991816609885,106.02564942781794,109.451345406855,114.59225460669377,119.95135099879776,123.29109501726967,100.58579781748227,104.85986556699913,110.1260813630941,115.40946342228968,118.43029611838168
2030Q3,104.1118798473115,108.11723759864368,112.98055946746892,118.58964762782331,121.23561320996565,102.15780407635371,104.82430132153347,111.05594214464631,116.1212225554364,119.39854254041886,105.25004345106956,108.34020092881597,114.09754314818565,119.36337576864074,122.54730562667204,106.66426763908481,109.53320007101897,115.44776153330314,121.14786267386344,124.16676427171423,100.72979016137049,105.29131746540685,110.8797557604085,116.46271749057368,119.20272118727115
2030Q4,104.0594788157226,108.8647013020535,113.79201299715231,119.86680101929817,122.70960160205627,102.42128148992842,105.28355678926093,111.82860007624946,117.03737949904038,120.22599337699778,105.25766757926031,108.83003427059678,114.87290269443817,120.34506399978689,123.77747392260056,106.95015249947961,110.16366460135217,116.24559793185412,122.0460478429857,125.79083895121758,101.35135027604612,105.76268149296546,111.74479707600537,117.52865896267947,120.66819954105863
2031Q1,104.67656136449739,109.106564964473,114.80681185728155,120.28664215100073,123.78048149566041,102.5689623526173,106.01900977237808,112.28752103822075,117.97968205420848,121.272942852617,105.70492327089917,109.1549911770498,115.78271375613033,121.43729117718163,125.31037985953428,107.02718519614601,110.46150781825519,116.94741024556987,122.94421255830915,126.60972888199314,101.45595549367381,106.50061703316491,112.32995786954211,118.44319398148859,121.81103497586192
2031Q2,104.67486128641177,109.38485339799642,115.55006221870296,121.58352037816356,124.72281447710168,102.99998867551643,106.52366558276596,113.1470422833161,119.02840264348148,122.35757129829292,106.1529030333353,109.74191788331413,116.52540959301696,122.35833777988994,126.09169715637876,107.87598466360883,110.90077285780202,117.37280634911072,123.88060937288449,127.69853347728228,101.87510388221344,106.68749296350606,113.01090969056622,119.46733038003066,122.74557292362375
2031Q3,105.23774958465155,109.90934733103768,116.12290110083647,122.5092475837667,126.1681991062519,103.1602526755072,106.83061273570252,113.94153937257336,119.9446127958797,123.16941500998479,106.68142275643126,110.48852031230516,117.49874840037455,123.47074736929493,127.12246980834048,108.26664962501296,111.4365104986676,118.09237890694064,125.00761385052006,128.9508618984278,102.03191095652835,107.43969428310538,113.9630116171167,119.8829885483757,123.87679617041042
2031Q4,105.71492699367273,110.44982845256666,116.96868751070755,123.48147811473325,127.71553551263631,103.12607110463566,107.73444850870948,114.58211746259501,121.27251277488557,124.66158915971882,107.0274880421199,110.99268200823347,118.1333480838868,124.66403035982789,128.5087628759217,108.24394224313238,111.78903381127043,118.51865180015866,125.99867014503043,129.74954196747214,102.59790243343967,107.92380317813048,114.90504230181679,120.95793722541796,125.38828038856096
2032Q1,105.89016487221761,110.8273477994506,117.68886067108124,124.47661802721173,128.39780595862564,103.58692982023511,108.2325054294347,115.19658404186967,121.96585600695238,126.14529253869999,107.01885581025272,111.48592064948267,118.84336520087977,125.65934926909964,129.74930834780008,108.38471620174258,112.15804087588184,119.38404876238913,126.94735065184246,130.73391669982811,103.45696644823434,108.09501229246455,115.4551066972477,121.79455022657683,126.49989331395892
2032Q2,106.34313486883273,111.1602108159565,118.36214107944711,125.40645291704695,130.16206566521245,103.63349606085666,108.73822089052186,115.99185036860938,122.94820143137413,126.95550913769192,106.97930613607612,112.14688837631361,119.74232492830114,126.42302435182084,131.00058093362875,108.95898452130265,112.74490594794891,120.04746017094152,127.50605793921996,132.5198714443071,103.90203642201787,108.49624493707795,115.7330963699246,123.01998844663564,127.65680798729385
2032Q3,106.92623621264852,111.7287005503018,119.30004310146091,126.45159914970927,131.90170574779344,104.2411685767951,109.43581670724964,116.38422975211284,123.93075029857184,127.86909918372137,107.44341033680315,112.73155683014826,120.5415297584687,127.39090109227158,132.31849369217719,108.99348054169657,113.17336953852428,120.87918256905856,128.5764836979671,133.06592372174833,104.23707343168338,109.11135499924347,116.19803926191834,124.02306506675838,128.27298254110914
2032Q4,107.25998363968013,112.12117912270993,120.06693859924664,127.07869785690772,132.5239045417816,104.86331618814897,109.63225938869856,117.31750634718398,124.87435152919319,129.35340278654712,107.63888430225039,113.27728637836903,121.30513348287496,128.77267195370445,133.09436102649974,109.12789745897939,113.34326066938496,121.53264030992679,129.51352115532245,134.61087857549384,104.43645117126934,109.03291626800507,117.18446489016866,125.06880146518317,130.12426778067558
2033Q1,107.31869020059138,112.4518121022906,120.39590625660661,128.32771378749254,133.819164339502,105.29290600202015,109.94160957670846,117.89934797789121,125.73363075317093,130.072367775484,108.06924620436385,113.82508387298793,122.2188501418793,129.749620356737,134.14882152783787,109.47897108518563,113.95943984269803,122.2329658707973,130.51334534281037,135.91181671115592,105.09406885441908,109.53048737403446,117.89174175080606,125.94758938040123,130.84357926245593
2033Q2,107.55437391963778,112.76611331424336,121.44952205989262,128.8141615082286,134.8406473293575,105.43048935493435,110.06552663876587,118.54397352777373,126.87518687396712,131.11082465054452,108.14737732729299,114.41056630669306,123.01995334307779,130.89622446976855,134.7176782708492,109.8292453903669,114.09647676450918,123.11281758872204,131.49613610786284,136.56517172313198,105.4945248173049,110.18362645049649,118.63720391067558,126.95849895177096,132.5427583320573
2033Q3,108.20670287043306,113.43763356163234,121.98759062453878,130.20764496773782,135.27807442185622,105.69986379223828,110.3045368292484,119.11175747424278,127.66505834387712,132.2294122587406,108.64389992344803,114.87653393339335,124.09506182789825,131.9077370348315,135.7696214468987,110.22106811659008,114.3348413826078,123.68359555443509,132.6743648953216,137.9004313647231,105.17492548295375,110.5137918186797,119.12917580901497,128.23423673505366,133.62844386531597
2033Q4,108.04441295963736,114.00592483412436,122.78383995981427,131.02236627639132,136.77430412880565,106.13535824227223,110.82643728478476,119.65916341301819,128.680105526712,133.14117709448774,109.51850881255321,115.40657075396905,124.7198028150472,132.92333974865497,137.5260731745616,110.31358731913774,114.69908015701171,124.39823894859505,133.27942638461684,139.05142947834923,106.06226638904346,111.15567869410255,119.81590761233119,128.9973659182065,134.74464416005281
2034Q1,108.388110727728,114.51117343604562,123.28235477190255,132.18428754107345,136.90934716055446,106.31758810315046,111.24000558641481,120.21087043956238,129.24364884645314,134.1128155330171,110.00103186997275,115.38392655242204,125.54420147202103,134.10363945442464,138.65476123615255,110.68138889141761,115.09789098588332,125.0189476459566,134.337835589839,139.7276940900246,105.85215478692275,111.52860600765607,120.5065359108967,129.51863517685348,135.15731925293107
2034Q2,109.0770767387393,115.29154153704053,124.37705975389026,133.27794133773276,137.83433303535787,106.37541200841358,111.78451474966697,121.1343080243119,130.58106236188095,135.15679543559133,110.72679890818095,115.88555955978592,126.0953983562447,134.91227655567138,139.2204640050127,110.79809458300409,115.39458841011536,125.50781003220403,135.38501547999473,140.09867420542037,106.28055534877538,111.85575487790156,121.42485524792266,130.54519434920863,135.56129578582767
2034Q3,109.06396531406021,115.28529614420597,124.8230802165502,133.64986928908937,139.0481133963677,106.47169051149862,112.1013100589767,121.8521336401397,131.47928674314883,135.7810789083845,111.46019519615263,116.86454360230236,127.08851103848235,135.8855544603786,140.24175398525566,110.96880827175146,115.81845485861409,126.32232044512213,136.36907226453187,141.3439841257494,106.7516521068808,112.1009569044441,122.31862579539839,131.51437628662615,136.52282623621358
2034Q4,109.79610921926249,115.8704262593552,125.55870051713478,134.5396516391085,139.58385596194418,106.2241793564749,112.6461797643101,122.35246833817716,132.18422784455996,136.312137285887,111.14538397976,116.99285531873417,127.46254608815953,136.8392506047671,141.18741377596618,110.73370824442794,115.9325136906323,127.01477052815673,136.629111392226,142.48353426571302,107.2748793317769,112.56002084745562,122.87594745851374,132.44401715007277,137.58082118624313
2035Q1,109.7470212714678,116.27244991778647,126.4528285818925,135.795662032521,141.07426953738582,106.53957043085983,112.79193308476411,123.05980938732672,132.59542776242577,137.28960868799837,111.50912631054202,116.93747567720956,128.27493772286965,137.66260229894831,142.10273388414498,111.34188375200374,116.72562894093682,127.74660729075464,137.80935645827662,143.62831181100034,107.02511412900033,113.24310355734272,123.51564869968044,133.35210231386355,138.5346240572038
2035Q2,110.50074037000076,116.46711367731757,127.080253354197,136.70729002596943,141.6282683549936,106.44711668036368,113.30166353569633,123.84237503864557,133.2330405217906,138.28863745861892,111.60534032491589,117.4816028746793,128.76079603663223,138.57206237569605,144.3355075396556,111.52291836468447,116.90366865022625,128.50244641988652,138.48222189420224,144.31449975780018,107.01074893950293,113.89891634586253,124.20040304633125,134.07670881890016,139.5178655562711
2035Q3,110.72925873373605,116.62260385433254,128.06675518396875,137.3750146991601,143.21777474966225,106.75170562334016,113.79074681862826,124.23716406616319,134.37695041621927,139.49946345753625,112.64325142532947,117.8637014483904,129.67858403485343,139.40839401018536,144.73906399933466,112.31894271905234,117.32909709405041,129.0939733886237,139.1913494014205,145.5632391007759,107.00970922432333,113.9032276328944,124.89975128979309,134.85659984493336,140.77939922259654
