,S1,S2,S3,S4,S5,S2-S3(노동효과)
코크스 및 석유정제품 제조업,22.992565209731026,2.950587255463244,33.425574232207595,27.38977998900071,14.439582643466895,-30.47498697674435
"예술, 스포츠 및 여가관련 서비스업",-61.4717252978876,-68.72344354074525,-50.17581582724007,-57.875346191002244,-58.48267944556078,-18.54762771350518
통신업,17.089664990272667,11.436677806277592,28.2962631639329,24.007504649167156,16.27696243647646,-16.859585357655305
운송장비 제조업,-27.141571157735356,-36.99408247777647,-20.68142146644516,-22.996773635138858,-33.396313866741636,-16.312661011331315
숙박 및 음식점업,-59.96148256794569,-66.65113465504271,-53.31983051292184,-58.65866538440762,-59.02590972155069,-13.331304142120871
"가스, 증기 및 공기조절 공급업",-11.511646231953765,-14.186404501385113,-1.924361902959967,-3.8605773618456083,-13.792230615482298,-12.262042598425145
기계 및 장비 제조업,-26.932852574304107,-38.25779250649055,-26.005588685494672,-22.354107748316245,-32.84306281255168,-12.25220382099588
금속가공제품 제조업,-55.778375347402786,-60.96999331962571,-50.56780519475665,-56.49262598427815,-58.3570361493086,-10.402188124869056
전기장비 제조업,13.264362290623845,4.572585663605157,14.730048811207503,17.465124994537312,8.102675974541402,-10.157463147602346
"전문, 과학 및 기술관련 서비스업",-9.696167990701127,-12.560571141011707,-4.154818909755585,-10.013174304925466,-11.723016597482783,-8.405752231256121
비주거용 건물 건설업,-38.74596036092433,-43.42133829466431,-35.25203996083694,-40.630273396624645,-42.72446909992482,-8.16929833382737
"출판, 방송, 영상, 정보서비스",-3.3371344139053325,-7.662959420427786,0.38472066630560875,-3.1935608971485063,-4.929588387715299,-8.047680086733395
농림어업,-30.620486055599002,-37.2338991998338,-29.18882602417122,-29.113301559600394,-30.408428588792276,-8.04507317566258
섬유 및 가죽제품 제조업,-29.869592433342795,-35.110137223079,-27.082046452751698,-26.240311957631782,-28.67057082804002,-8.028090770327303
도소매업,-7.892014871997981,-12.57761924282756,-4.826629725399085,-6.637112584826921,-10.488811418916143,-7.750989517428474
화학물질 및 화학제품 제조업,12.07762874896621,7.280384512308774,14.994738138379809,15.624126793148172,9.526376462401931,-7.714353626071035
사업지원 서비스업,25.367063338091835,17.501928081161488,25.00695289744239,24.526716812424652,21.937881692647036,-7.505024816280901
기타 서비스업,-27.236778258363167,-29.49670412262002,-22.190364644910577,-26.361057669899544,-28.524750260477724,-7.306339477709443
1차금속 제조업,-8.466154140725783,-14.064478975103292,-7.304657200858289,-6.942041307714661,-12.186287252709958,-6.759821774245003
전기업,-8.682937240035164,-6.748360341153482,-0.16325837188184145,-1.495975816910266,-7.711574272049225,-6.585101969271641
"목재, 종이, 인쇄 및 복제업",-29.22820714491982,-31.90890243800532,-25.359846168258215,-28.079819813248726,-29.011091889476575,-6.549056269747105
기타 제조업 및 산업용 장비 수리업,-3.513030454305106,-4.4625987261438205,1.7102767700907062,-0.9439238127900325,-1.515780081963486,-6.172875496234527
광업,-75.48744034211796,-78.03737344384305,-72.16436865805373,-77.12260962086907,-77.58273602255665,-5.87300478578932
비금속광물제품 제조업,-17.679612648618082,-19.297106476275587,-13.715080453978377,-12.69031959666184,-20.32047986515463,-5.58202602229721
운수업,16.506524129984527,13.407252556598323,18.181676836460355,18.318644976613015,16.86630330772836,-4.774424279862032
음식료품 제조업,-15.608968079442114,-18.889746858126845,-14.285431377809147,-16.80776419122498,-15.26112422989467,-4.604315480317698
부동산업,25.234789278429126,22.269792652288597,26.533733556259836,27.627558359180078,24.845982221431633,-4.263940903971239
주거용 건물 건설업,-70.72699795492954,-74.06114052895687,-70.0413671812622,-79.80348873152752,-68.55367150022292,-4.019773347694667
건축보수업,-24.726195167487667,-27.315644899515988,-23.303411159070794,-26.61967323343082,-30.342363864021664,-4.012233740445193
금융 및 보험업,28.023448939839344,27.175878001579477,31.181878688531462,26.755157397406897,23.300954468434533,-4.006000686951985
"컴퓨터, 전자 및 광학기기 제조업",100.27614896354714,97.51587411849644,101.17253809469109,104.36679844666915,96.15956685157818,-3.6566639761946504
교육서비스업,15.461509508164934,14.659747564084153,16.796216755720756,16.381445753470985,15.142734223416277,-2.1364691916366034
"수도, 하수 및 폐기물 처리, 원료 재생업",5.192531265324549,6.483444030764836,8.426967565300075,8.127028433581648,3.631162130370735,-1.9435235345352382
"공공행정, 국방 및 사회보장",28.09472812251085,27.63094701463126,28.608624444932076,27.559070210896298,27.216670752610938,-0.9776774303008153
"의료, 보건업 및 사회복지서비스업",50.1159362144635,51.45761893830829,51.59713266066602,49.34662934029928,50.064289986995206,-0.13951372235772652
토목건설업,-31.027783047360657,-27.347200376881403,-27.58041530724249,-30.141675275804317,-31.672720859611047,0.2332149303610862
